model,variant,mean_p_correct,rmse_avg,acc_consistent,acc_counter,acc_diff
VILA,base,0.48823367649530736,0.15120485845341558,0.5041123229460455,0.47123128291588545,0.032881040030160014
VILA,80k,0.49944358142150974,0.1598164715917234,0.5615206350817344,0.4379947064723163,0.12352592860941813
VILA,400k,0.6693340983307189,0.19194215095375852,0.8043986967062399,0.537520105926188,0.2668785907800518
VILA,800k,0.6464060710190065,0.13764227885411381,0.7274709582977952,0.5708015562672418,0.15666940203055335
VILA,2m,0.8120090165434789,0.13289827917895963,0.875438226835793,0.7487233338094922,0.1267148930263008
VILA,roborefer,0.7931331227742823,0.18131098234603146,0.816106988096691,0.7701042907966359,0.04600269730005513
Molmo,base,0.5279953730292186,0.11771997543792409,0.5650225558516215,0.487449411595215,0.07757314425640655
Molmo,80k,0.4963479380324054,0.1607696217472457,0.506549937093096,0.48557687079387823,0.020973066299217802
Molmo,400k,0.5011525923583858,0.287448604011037,0.5928145852945872,0.4084582535778019,0.18435633171678528
Molmo,800k,0.5307888161377674,0.1883042495686545,0.6278158349404772,0.4302698236423058,0.1975460112981714
Molmo,2m,0.6663995925855133,0.24536410643765388,0.703359449112781,0.6303828279860163,0.07297662112676473
Qwen,base,0.5698004367070271,0.28496132365991234,0.7756764483702554,0.3596497801906296,0.4160266681796258
Qwen,80k,0.5124001189456454,0.212866586480245,0.584760426884178,0.4399480794860174,0.14481234739816057
Qwen,400k,0.5027446279798424,0.2943784041157167,0.5882779759039879,0.41752942411928845,0.17074855178469944
Qwen,800k,0.4986959391010537,0.330198390649857,0.6002671719765195,0.3977667689980029,0.20250040297851657
Qwen,2m,0.5003231301013089,0.3432976552581916,0.647673457481216,0.3527445614603434,0.2949288960208726
Qwen,3b,0.5116418713977391,0.22459633944447488,0.5946728015070714,0.42836752458375554,0.16630527692331581
