model,task,layer_idx,count,avg_image_ratio,avg_prompt_ratio,avg_gen_ratio
Efficient-Large-Model/NVILA-Lite-2B,Count,0,788,nan,nan,nan
Efficient-Large-Model/NVILA-Lite-2B,Count,1,788,0.09820471439264752,0.8136011113975253,0.08819243145473113
Efficient-Large-Model/NVILA-Lite-2B,Count,2,788,0.5220671523040926,0.41669522203164655,0.061235379446581535
Efficient-Large-Model/NVILA-Lite-2B,Count,3,788,0.517691210441783,0.4409297420288706,0.041372386332090734
Efficient-Large-Model/NVILA-Lite-2B,Count,4,788,0.43686331347160534,0.4813725040648794,0.08176232352474619
Efficient-Large-Model/NVILA-Lite-2B,Count,5,788,0.4632875084271891,0.4777212384993655,0.058997410808117864
Efficient-Large-Model/NVILA-Lite-2B,Count,6,788,0.5107787466291244,0.43007508873334394,0.05914721029058931
Efficient-Large-Model/NVILA-Lite-2B,Count,7,788,0.5445947017766497,0.4114965448524746,0.04390267309198525
Efficient-Large-Model/NVILA-Lite-2B,Count,8,788,0.5103964248889594,0.303111429746986,0.18648811766338833
Efficient-Large-Model/NVILA-Lite-2B,Count,9,788,0.5143996495280774,0.40003448331416563,0.08556416313055203
Efficient-Large-Model/NVILA-Lite-2B,Count,10,788,0.2405788983185279,0.6808985986080266,0.07852653077411167
Efficient-Large-Model/NVILA-Lite-2B,Count,11,788,0.40666113529108505,0.5139581515704315,0.07938512811805996
Efficient-Large-Model/NVILA-Lite-2B,Count,12,788,0.3679893222557107,0.509438761599778,0.12257199360029346
Efficient-Large-Model/NVILA-Lite-2B,Count,13,788,0.28057985257376267,0.6268989059525698,0.09251976981380869
Efficient-Large-Model/NVILA-Lite-2B,Count,14,788,0.3318943081773477,0.6458799100769352,0.022223554891983265
Efficient-Large-Model/NVILA-Lite-2B,Count,15,788,0.4754929905615482,0.42734027998096447,0.09716355377042354
Efficient-Large-Model/NVILA-Lite-2B,Count,16,788,0.2219703015942259,0.6392329646851206,0.13881330925801078
Efficient-Large-Model/NVILA-Lite-2B,Count,17,788,0.3741047660711453,0.5699871857154187,0.05589923761822851
Efficient-Large-Model/NVILA-Lite-2B,Count,18,788,0.3152530883169416,0.5757853706476047,0.10895247870895464
Efficient-Large-Model/NVILA-Lite-2B,Count,19,788,0.5202478708954632,0.4486226503013959,0.031117686160324794
Efficient-Large-Model/NVILA-Lite-2B,Count,20,788,0.42244166650142767,0.5085604130314086,0.06898699920189562
Efficient-Large-Model/NVILA-Lite-2B,Count,21,788,0.4477573143044099,0.4802865740006345,0.0719631601711215
Efficient-Large-Model/NVILA-Lite-2B,Count,22,788,0.44868244616513325,0.5304041828600888,0.020911221576826223
Efficient-Large-Model/NVILA-Lite-2B,Count,23,788,0.41865624752141495,0.37069531745717005,0.21065354710302983
Efficient-Large-Model/NVILA-Lite-2B,Count,24,788,0.4836977266418147,0.3530479469880235,0.1632584315266101
Efficient-Large-Model/NVILA-Lite-2B,Count,25,788,0.6243636232947335,0.3214904475333122,0.054134330168593356
Efficient-Large-Model/NVILA-Lite-2B,Count,26,788,0.6366474906805203,0.33177657538864214,0.03157245810261838
Efficient-Large-Model/NVILA-Lite-2B,Count,27,788,0.4505339491790926,0.47430048134121194,0.07516386545249049
Efficient-Large-Model/NVILA-Lite-2B,Relation,0,650,nan,nan,nan
Efficient-Large-Model/NVILA-Lite-2B,Relation,1,650,0.0947259521484375,0.8160719651442307,0.08921799879807692
Efficient-Large-Model/NVILA-Lite-2B,Relation,2,650,0.5272472205528846,0.4089441856971154,0.06381361741286058
Efficient-Large-Model/NVILA-Lite-2B,Relation,3,650,0.5777471454326923,0.3796514423076923,0.04259742149939904
Efficient-Large-Model/NVILA-Lite-2B,Relation,4,650,0.4362567608173077,0.47623272235576924,0.08752056415264423
Efficient-Large-Model/NVILA-Lite-2B,Relation,5,650,0.47081881009615384,0.47294658954326924,0.05622934194711538
Efficient-Large-Model/NVILA-Lite-2B,Relation,6,650,0.5323614032451923,0.41581505408653846,0.0518243408203125
Efficient-Large-Model/NVILA-Lite-2B,Relation,7,650,0.5135851111778846,0.45076096754807693,0.03565115121694711
Efficient-Large-Model/NVILA-Lite-2B,Relation,8,650,0.5191207181490385,0.3081452824519231,0.17273662860576924
Efficient-Large-Model/NVILA-Lite-2B,Relation,9,650,0.5407399338942308,0.3811012620192308,0.07815692608173076
Efficient-Large-Model/NVILA-Lite-2B,Relation,10,650,0.2899481670673077,0.6276352163461538,0.08240065354567308
Efficient-Large-Model/NVILA-Lite-2B,Relation,11,650,0.3879736328125,0.5361703725961539,0.07585683969350962
Efficient-Large-Model/NVILA-Lite-2B,Relation,12,650,0.3496875,0.5029387019230769,0.1473717322716346
Efficient-Large-Model/NVILA-Lite-2B,Relation,13,650,0.33048001802884613,0.601016376201923,0.06851656400240384
Efficient-Large-Model/NVILA-Lite-2B,Relation,14,650,0.30449782151442306,0.6682279146634615,0.027285179725060095
Efficient-Large-Model/NVILA-Lite-2B,Relation,15,650,0.4535340294471154,0.458818359375,0.08764808067908654
Efficient-Large-Model/NVILA-Lite-2B,Relation,16,650,0.16730130709134616,0.6743006310096153,0.15840031550480768
Efficient-Large-Model/NVILA-Lite-2B,Relation,17,650,0.44861853966346155,0.5083909254807693,0.0429846426156851
Efficient-Large-Model/NVILA-Lite-2B,Relation,18,650,0.28856482872596156,0.6185193810096153,0.09291062575120192
Efficient-Large-Model/NVILA-Lite-2B,Relation,19,650,0.5830859375,0.39702786959134617,0.01989715576171875
Efficient-Large-Model/NVILA-Lite-2B,Relation,20,650,0.5468765024038461,0.3882831280048077,0.06484173114483173
Efficient-Large-Model/NVILA-Lite-2B,Relation,21,650,0.6433210637019231,0.3087077448918269,0.04797344501201923
Efficient-Large-Model/NVILA-Lite-2B,Relation,22,650,0.4619482421875,0.5260501802884615,0.012007880577674278
Efficient-Large-Model/NVILA-Lite-2B,Relation,23,650,0.5033672626201923,0.3482782451923077,0.14834801307091347
Efficient-Large-Model/NVILA-Lite-2B,Relation,24,650,0.5159051983173077,0.36181227463942306,0.12228271484375
